Товар,Цена,Категория,Краткое описание,Полное описание,Фото,Вес,Длина,Ширина,Высота
Аппаратный кошелёк Ledger Nano S Plus,33 990,Аппаратные кошельки,"""Новинка Ledger Nano S Plus с расширенной памятью и увеличенным экраном""","""Самый популярный кошелек в мире – Ledger Nano S – стал еще лучше.
Аппаратный кошелёк Ledger Nano S Plus может похвастаться увеличенным экраном и большим объемом памяти, в сравнении с предшественником.
 Сертифицированный безопасный чип (CC EAL5+) удерживает ваши личные ключи в автономном режиме, вне досягаемости хакеров. Больше памяти позволяет одновременно установить более 100 приложений.
 Отправляйте и подписывайте свои транзакции NFT с полной прозрачностью в Ledger Live: что вы видите, то и подписываете. Большой экран упрощает навигацию и проверку транзакций.""","""https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-01-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/ledger-nano-s-plus-7-100x100.jpg, """,,,,
Аппаратный кошелёк Ledger Nano S,14 990,Аппаратные кошельки,"""Один из самых популярных аппаратных кошельков в мире""","""Ledger Nano S (Леджер Нано С) является самым продаваемым аппаратным кошельком для криптовалюты. Кошелек снабжен небольшим OLED-дисплеем и подключается к ПК через микро-USB вход. Особенностью кошелька является большой список поддерживаемых криптовалют (Биткоин, Рипл, Эфир и многих других). Повышенная мультивалютность поддерживается благодаря загрузке и удалению встроенных приложений для криптовалют. Аппаратная часть имеет двойную архитектуру чипов ST31/STM32, что обеспечивает наивысшую защиту приватных ключей от несанкционированного доступа.
 Стоит отметить, что крипто-кошелек Ledger Nano S полностью изолирован от компьютера. Ввод фразы восстановления возможен только на аппаратном кошельке, что позволяет сохранить ваши криптоактивы в безопасности.
 Дизайн корпуса представлен в трех цветах — серый, желтый и Lagoon Blue (бирюзовый) – что удовлетворит вкусы даже самых искушенных пользователей.""","""https://cryptonist.ru/wp-content/uploads/2018/11/ledger-nano-s-01-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger02-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger-nano-s-05-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger05-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger-nano-s-auth-1024-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger-nano-s-04-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/ledger-nano-s-00-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/ledger-nano-s-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/ledger-nano-s-10-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.016,5.7,1.7,0.9
Аппаратный кошелёк Ledger Nano X,29 990,Аппаратные кошельки,"""Модель с Bluetooth-соединением и увеличенной памятью""","""Новая модель Ledger с более широким дисплеем и увеличенной памятью, которая позволяет загрузить более 100 приложений для работы с разными криптовалютами и возможностями. Новинка имеет поддержку Bluetooth соединения со смартфоном. Это позволяет совершать транзакции через мобильный телефон. Ledger Nano X оснащен аккумулятором для автономной работы аппаратного кошелька со смартфоном без подключения к ПК.
 По заявлению разработчиков, подключение через Bluetooth не снижает безопасность кошелька, потому что все действия необходимо будет подтверждать на аппаратном кошельке по аналогии с младшей моделью.""","""https://cryptonist.ru/wp-content/uploads/2019/01/ledger_nano_x-100x100.png, https://cryptonist.ru/wp-content/uploads/2019/01/ledger_nano_x2-100x100.png, https://cryptonist.ru/wp-content/uploads/2019/01/ledger_nano_x3-100x100.png, """,0.034,7.2,1.8,1.1
Аппаратный кошелек Coolwallet Pro,18 990,Аппаратные кошельки,"""Новинка 2021 года выпуска с возможностью Стейкинга и работы в Defi""","""Криптовалютный кошелек CoolWallet Pro – это новое поколение в CoolBitX с улучшенным функционалом, безопасностью и дизайном. Разработчики интегрировали DeFi-протоколы для криптотрейдеров. Новая модель поддерживает все монеты, доступные в CoolWallet S и новые криптовалюты: Tron (TRX), Cosmos (ATOM), Polkadot (DOT).
 Гибкий и водонепроницаемый корпус защитит холодный кошелек CoolWallet Pro от попадания влаги и снизит ослабит механические повреждения. Кошелек обладает стильным и элегантным дизайном, отличительные черты которого – выделенные точки зарядки и рецессивная кнопка подтверждения.
 В кошельке добавили DeFi-стекинг: пользователи могут хранить криптовалюту, получая доход на алгоритме PoS. Микросхемы содержат секьюрный чип CC EAL6+, сделанный по самым высоким стандартам безопасности для холодного хранения биткоина и альткоинов.
 В комплект поставки входит:
1. устройство CoolWallet Pro с чипом Secure Element, 2 + 1 факторной аутентификацией и Bluetooth-коннектором;
2. док-станция для зарядки и кабель;
3. карта для хранения seed-фразы.""","""https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-1.jpg, https://cryptonist.ru/wp-content/uploads/2021/05/coolwallet-pro-2-100x100.jpg, """,0.006,8.5,5.4,0.1
Аппаратный кошелек CoolWallet S,14 990,Аппаратные кошельки,"""Компактный аппаратный кошелек в виде кредитной карточки""","""CoolWallet S – единственный в мире холодный кошелек, который работает на мобильном приложении. Он подключается к мобильному телефону через зашифрованное соединение по Bluetooth. Далее все действия происходят внутри мобильного приложения. В приложении не нужно регистрироваться, все полностью анонимно.
 Транзакции, как и во всех аппаратных кошельках, подтверждаются путем нажатия кнопки на самом CoolWallet. Более того, на кошельке есть чернильный дисплей, отображающий цифры, монеты, индикатор соединения и батареи.
 Устройство заряжается от USB-зарядки. Производители говорят, что батареи Coolwallet S может хватить на 2 – 3 недели, если устройство полностью зарядить.""","""https://cryptonist.ru/wp-content/uploads/2018/11/CoolWallet-S-and-App-e1528699227589-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/CWS_Durability-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/DSCF3492-e1525941879845-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/DSCF3509-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/DSCF3533-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/11/Coolwallet_main-100x100.jpg, """,0.002,8.5,5.4,0.1
Аппаратный кошелёк Coolwallet S DUO,23 500,Аппаратные кошельки,"""Модель CoolWallet S с дополнительной картой в комплекте""","""Кошелек CoolWallet S DUO – это второй продукт безопасного холодного хранения от производителя CoolBitX из Тайвани. Единственное отличие от модели DUO заключается в дополнительной карте, которая прилагается к комплектации. Вторая карта позволит распоряжаться активами с двух устройств одновременно или может служить резервным кошельком в случае утери первого. Устройство работает с помощью приложений на базе смартфоном iOS и Android.
 Экономичный чернильный дисплей позволяет работать устройству без подзарядки более двух недель. Механическая кнопка требуется для подтверждения транзакций, что исключает какую-либо возможность удаленного взлома и кражи цифровых активов. Резервное копирование BIP39 позволит восстановить криптовалюту на любом другом горячем или аппаратном устройстве.""","""https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-02-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-03-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-04-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-05-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-06-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-07-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/10/coolwallet-s-duo-01-100x100.jpg, """,0.002,8.5,5.4,0.1
Аппаратный кошелёк D’CENT Biometric Wallet,18 490,Аппаратные кошельки,"""Холодный кошелек со сканером отпечатка пальца""","""Криптовалютный кошелек D’CENT Biometric Wallet – безопасное устройство для надежного хранения криптовалют, таких как биткоин или эфириум, с усиленной биометрической аутентификацией и сканером отпечатков пальцев. Кошелек оснащен большим OLED-дисплеем и чипом EAL5+, обеспечивающим безопасность банковского уровня. Устройства D’CENT генерируют ключи без подключения к дополнительному программному обеспечению.
 В случае утери устройства вы легко сможете восстановить доступ к средствам. Холодный кошелек D’CENT Biometric Wallet обладает архитектурой Miltu-IC, которая обеспечивает самую сильную защиту конфиденциальных данных и закрытых ключей.""","""https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/06/dcent-biometric-wallet-6-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.036,7.7,4.3,1.1
Резервная карта D’CENT,3 500,Аппаратные кошельки,"""Устройство для резервной копии Ethereum Card Wallet""","""Резервная карта D’CENT Backup Card – это аппаратный кошелек, который не хранит никакие данные внутри чипа безопасности (Secure Element). Используется для хранения резервных копий оригинального криптокошелька Ethereum Card Wallet.
 Резервные копии кошельков защищены технологией Secure Encryption. Данные поступают на резервную карту в зашифрованном виде, а затем декодируются, создавая точную копию основного кошелька. Пользователь задает пароль для шифрования оригинального криптокошелька. Картой можно управлять в оригинальном мобильном приложении D’CENT.""","""https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/backup-card-2.2-100x100.jpg, """,0.001,8.56,4.5,0.08
Аппаратный кошелёк D’CENT Ethereum Card Wallet,4 500,Аппаратные кошельки,"""Аппаратный кошелек D’CENT Ethereum Card Wallet с модулем NFC""","""D’CENT Ethereum Card Wallet в виде кредитной карты создан для холодного хранения криптовалюты ETH, токенов ERC-20 и ERC-721, а также NFT. Кошелек Ethereum Card Wallet поддерживает синхронизацию с мобильными приложениями через NFC и обладает удобным интерфейсом.
 Можно использовать как аутентификатор для блокчейн-игр и DApps, чтобы повысить безопасность при обмене цифровых монет. Криптовалютный кошелек Ethereum Card Wallet оснащен сертифицированным IC-чипом безопасности EAL5+. Адрес для отправки цифровых монет отображается в виде QR-кода и не требует использования мобильных приложений.
Отлично подойдет в качестве подарка для друзей и семьи!""","""https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/08/ethereum-card-wallet-6-100x100.jpg, """,0.001,8.56,4.5,0.08
Аппаратный кошелёк Tangem TWIN: BTC,13 500,Аппаратные кошельки,"""Две Bitcoin-карты с одним кошельком""","""Аппаратный кошелек Tangem Twin: BTC – набор из двух карт для холодного хранения Биткоина. Обе карты привязаны к одному Bitcoin-кошельку, с которого пользователь управляет активами и совершает транзакции.
 Каждая карта генерирует уникальный приватный ключ, который нельзя извлечь. Он хранится также на второй карте, используемой вместо резервной копии, что исключает необходимость хранения seed-фразы. Аппаратный кошелек поддерживает NFC для синхронизации с мобильным приложением Tangem и снабжен SE-чипом EAL6+, который гарантирует отсутствие бэкдоров в исходном коде и предоставляет наивысшую степень безопасности. Прошивка кошелька прошла аудит Kudelski Security.
 Криптокошелек Tangem Twin BTC защищен от воздействия окружающей среды благодаря Ingress Protection Code (IP68) и работает в диапазоне температур от -35? до +85?. Для синхронизации со смартфоном и настройки карт требуется 3 минуты.""","""https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-23-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-13-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-14-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-7.1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-21-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2018/05/tangem-twin-22-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.003,8.56,4.5,0.06
